Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
61b890e2255ac099397d760c90eaa557ec7b94a8c6f8fb9f52a89ee7d6a27485,2019-03,Merseyside Police,Merseyside Police,-2.972731,53.446827,On or near MILTON ROAD,E01006705,Liverpool 009E,Unable to prosecute suspect
d1aa3a4360b7136e41b8878029abb6b002b1119d651f81f6b78bc91484c33109,2019-03,Merseyside Police,Merseyside Police,-2.711594,53.418412,On or near TUNSTALL'S WAY,E01006897,St. Helens 020F,Suspect charged
ea7e4f8a93183b02db4fbcac28c618c3aefd5b6561d0fe01a6721a8d02d67034,2019-03,Merseyside Police,Merseyside Police,-3.049992,53.397515,On or near PARK ROAD NORTH,E01007156,Wirral 015B,Suspect charged
bc887b1634850b4ee73a7a26a3cbc8229ade44717912cf962857e49a27e46ccd,2019-03,Merseyside Police,Merseyside Police,-2.865217,53.351563,On or near SPEKE HALL ROAD,E01006743,Liverpool 058D,Suspect charged
bc887b1634850b4ee73a7a26a3cbc8229ade44717912cf962857e49a27e46ccd,2019-03,Merseyside Police,Merseyside Police,-2.865217,53.351563,On or near SPEKE HALL ROAD,E01006743,Liverpool 058D,Suspect charged
bc887b1634850b4ee73a7a26a3cbc8229ade44717912cf962857e49a27e46ccd,2019-03,Merseyside Police,Merseyside Police,-2.865217,53.351563,On or near SPEKE HALL ROAD,E01006743,Liverpool 058D,Suspect charged
bc887b1634850b4ee73a7a26a3cbc8229ade44717912cf962857e49a27e46ccd,2019-03,Merseyside Police,Merseyside Police,-2.865217,53.351563,On or near SPEKE HALL ROAD,E01006743,Liverpool 058D,Suspect charged
bc887b1634850b4ee73a7a26a3cbc8229ade44717912cf962857e49a27e46ccd,2019-03,Merseyside Police,Merseyside Police,-2.865217,53.351563,On or near SPEKE HALL ROAD,E01006743,Liverpool 058D,Suspect charged
bc887b1634850b4ee73a7a26a3cbc8229ade44717912cf962857e49a27e46ccd,2019-03,Merseyside Police,Merseyside Police,-2.865217,53.351563,On or near SPEKE HALL ROAD,E01006743,Liverpool 058D,Suspect charged
280dacf181b3e6ab75fe305d37f750972dee774c7044a6a8df01c49d11fd9c22,2019-03,Merseyside Police,Merseyside Police,-2.940376,53.425126,On or near JULY ROAD,E01006767,Liverpool 019F,Unable to prosecute suspect
280dacf181b3e6ab75fe305d37f750972dee774c7044a6a8df01c49d11fd9c22,2019-03,Merseyside Police,Merseyside Police,-2.940376,53.425126,On or near JULY ROAD,E01006767,Liverpool 019F,Unable to prosecute suspect
318f601f0a57834daae6b4e2ffeef8f8302f717f0c961f1b38db904072640c16,2019-03,Merseyside Police,Merseyside Police,-3.039316,53.387730,On or near GRANGE MOUNT,E01007155,Wirral 020A,Unable to prosecute suspect
5e08973a502799d8d8ba91936d932667d8f4fd48e0f51c02a5bae4a503464d64,2019-03,Merseyside Police,Merseyside Police,-2.965465,53.447767,On or near Parking Area,E01006608,Liverpool 009A,Suspect charged
5e08973a502799d8d8ba91936d932667d8f4fd48e0f51c02a5bae4a503464d64,2019-03,Merseyside Police,Merseyside Police,-2.965465,53.447767,On or near Parking Area,E01006608,Liverpool 009A,Suspect charged
aeb0893c3826d911d46b398224d8e74d77a1d4812c6a3a8c6aecf02953bb8991,2019-03,Merseyside Police,Merseyside Police,-3.062160,53.607989,On or near Parking Area,E01006922,Sefton 012B,Unable to prosecute suspect
ac289a9268af7b1fe2fd80d5c68c979a6a403bee8793099e91addfc461624714,2019-03,Merseyside Police,Merseyside Police,-2.998566,53.656311,On or near KNOWSLEY ROAD,E01006950,Sefton 004B,Suspect charged
37f028a53c24a4aa8a94da8e3863de80d5c4435ccd9a1e7a5dbf944fd3cf0998,2019-03,Merseyside Police,Merseyside Police,-2.743624,53.452680,On or near WESTFIELD STREET,E01006877,St. Helens 012C,Investigation complete; no suspect identified
5cbd1c0708bbbe79738a233fef353b3eeeaebb2dadba3e5de7042e54330a790b,2019-03,Merseyside Police,Merseyside Police,-2.981061,53.441752,On or near BRAEMAR STREET,E01006778,Liverpool 014E,Suspect charged
5cbd1c0708bbbe79738a233fef353b3eeeaebb2dadba3e5de7042e54330a790b,2019-03,Merseyside Police,Merseyside Police,-2.981061,53.441752,On or near BRAEMAR STREET,E01006778,Liverpool 014E,Suspect charged
5cbd1c0708bbbe79738a233fef353b3eeeaebb2dadba3e5de7042e54330a790b,2019-03,Merseyside Police,Merseyside Police,-2.981061,53.441752,On or near BRAEMAR STREET,E01006778,Liverpool 014E,Suspect charged
